horizon,date,log_cpi_mean,log_cpi_lower,log_cpi_upper,log_eur_mean,log_eur_lower,log_eur_upper,log_gdp_mean,log_gdp_lower,log_gdp_upper
1,2024,2.09381773254616,1.89739238404556,2.27147303755337,-1.78051039138574,-1.88516238126771,-1.65312471773344,1.77098655035268,1.37666999171379,2.03520170256384
2,2024.08333333333,2.06680275602152,1.81964014133039,2.31269889966965,-1.72581447626207,-1.91093214130613,-1.53192421589901,1.87871052560408,1.46362452098949,2.14845230335823
3,2024.16666666667,2.0563495832737,1.79465549206726,2.36014250437147,-1.66445098622493,-1.92268990531548,-1.40520638414737,1.97077266958534,1.54067391803237,2.28699144363383
4,2024.25,2.03497632863209,1.64125363606718,2.40477511901174,-1.61050752752474,-1.86537288164765,-1.3106989301893,2.06496112904844,1.59968428087684,2.45258649063367
5,2024.33333333333,2.02997956652399,1.6428143849471,2.46849075878284,-1.5577245917019,-1.83569657003299,-1.26647554300135,2.13222157333578,1.65544162393943,2.54003466547751
6,2024.41666666667,2.03168343529866,1.53821788685259,2.48168211399586,-1.5123801714804,-1.85363966532675,-1.16551161436122,2.21272014269511,1.63538109996451,2.65163351961604
7,2024.5,2.01655423247885,1.50167396740292,2.46124577970009,-1.48017679567352,-1.88158414065617,-1.07364479882795,2.29299704651722,1.71107987920708,2.68750103901544
8,2024.58333333333,2.01751067947907,1.5028330783846,2.41929322301314,-1.43968244631802,-1.83908147432689,-1.04418851117823,2.35629919654445,1.71771591141607,2.81816156710512
9,2024.66666666667,2.02852554968413,1.54567880393876,2.48819397127713,-1.40293029854898,-1.80733339400371,-1.01858470516475,2.41517714380689,1.78997263872943,2.88847235625259
10,2024.75,2.03220850345668,1.52279146828254,2.48934840536958,-1.36020463797139,-1.82078636888937,-0.929168237574323,2.48537647466702,1.91177965398833,3.00755436676694
11,2024.83333333333,2.05161565150143,1.50666102934403,2.49720894539334,-1.34143973127569,-1.80352597222753,-0.911688688668651,2.5165531693944,1.89162059247246,3.07208823972451
12,2024.91666666667,2.07808448294081,1.484606047189,2.56154523358984,-1.31121871559779,-1.80219359652851,-0.82225438162301,2.57929361021023,1.96722204419542,3.13838647651617
13,2025,2.11311259064952,1.56677722116182,2.6642894297704,-1.30141607248532,-1.78790575825219,-0.772947405568613,2.60908918852951,1.99670042298533,3.14335125224217
14,2025.08333333333,2.11618971394907,1.48704489405859,2.73142261661731,-1.28236710338525,-1.78216278746528,-0.789640228023556,2.64077458011583,1.99648292078643,3.18071886194047
15,2025.16666666667,2.14768819694168,1.48566872140797,2.81369323559362,-1.26317976459309,-1.76895095207049,-0.761652783984931,2.68983010575512,1.95224741017294,3.27676787793286
16,2025.25,2.18568498364227,1.44770022566424,2.91300588510188,-1.24104989398556,-1.73953394820807,-0.764937900825723,2.74648522276723,2.03600321935796,3.34630576250452
17,2025.33333333333,2.21201005685523,1.53671843431508,2.92622607043267,-1.20702644712255,-1.70424413149881,-0.650903592490945,2.7704516540565,2.10014801697155,3.36896077832555
18,2025.41666666667,2.24707072049596,1.56676713077096,3.02123956904811,-1.18159784882195,-1.77027869986916,-0.643566764999452,2.79094155379407,2.01443753835227,3.41764544219045
19,2025.5,2.2598335710209,1.5742361928309,2.97206542349884,-1.15142946307448,-1.74359734543458,-0.591961190216463,2.83479423397237,2.1106623060711,3.52315246941563
20,2025.58333333333,2.26993665251731,1.58377120746787,3.07343469827351,-1.14837981641297,-1.77992879261292,-0.589559079844767,2.86590485673895,2.19058495210698,3.5919279507984
21,2025.66666666667,2.28973996060119,1.53411274495152,3.08323295099832,-1.14744525319871,-1.70047482265865,-0.572581963548179,2.90824948601424,2.2040754083481,3.54385601618211
22,2025.75,2.30455980586715,1.55489181129419,3.0752200938252,-1.13681784909953,-1.71368649974042,-0.53540130160535,2.93903720550446,2.14909927753808,3.59438456085408
23,2025.83333333333,2.33056151365348,1.50822226158684,3.07947973506409,-1.11498504866936,-1.6899081633964,-0.437353097738077,2.98523190107757,2.24533799493337,3.69230491847754
24,2025.91666666667,2.33159153361991,1.52586371595925,3.12040544332916,-1.10702280943658,-1.68700395661523,-0.479857300027038,3.00393479923187,2.27813893463787,3.72387426593637
